Complexity,Loss,Equation
1,16839.018,"184.40155"
2,4813.6978,"sqrt(Ncycles)"
4,4072.9817,"sqrt(Ncycles) * 0.88821924"
6,3808.3745,"(Phz + sqrt(Ncycles)) * 0.8146927"
8,3522.4395,"sqrt(Ncycles / ((Phz * -0.036011852) + 2.254547))"
9,3398.3938,"(sqrt(Ncycles) + -118.662384) + (Phz * log(Tmolde))"
11,2861.3406,"(sqrt(Ncycles) / ((log(Tmolde) * Phz) + -281.15906)) * -164.38455"
13,2858.7373,"((sqrt(Ncycles) / ((log(Tmolde) * Phz) + -281.06958)) * -166.21887) - 3.038786"
14,2847.8809,"((sqrt(Ncycles) / ((log(Tmolde) * Phz) + -281.13794)) * -166.20326) - sqrt(Phz)"
15,2778.7083,"log(Tmolde) * ((Phz + (sqrt(Ncycles + 31162.723) + -202.9109)) + (Ncycles * -0.0010058462))"
17,2736.6418,"log(Tmolde) * ((((sqrt(Ncycles + 9498.506) + (Ncycles * -0.0009211908)) + -144.30406) / 1.6650227) + Phz)"
18,2727.294,"((sqrt(Ncycles / ((Phz * -0.041099504) + 2.3150826)) - 5.794567) / ((11.598753 / Tmolde) - -0.63587654)) + -5.894439"
19,2587.3513,"(((sqrt(Ncycles + 10392.912) + (Ncycles * -0.0009703071)) + -138.4283) / 0.42867786) + (log(Tmolde + -16.114876) * Phz)"
21,2443.4807,"((Ncycles * -0.0022853662) + ((sqrt(Ncycles + 10392.989) + -112.59755) / 0.42771724)) + (log(Tmolde + -21.287155) * (Phz - 17.541662))"
23,2409.0515,"(((Phz - 19.106127) * log(Tmolde + -21.273722)) + ((((Ncycles * -0.0009670768) + sqrt(Ncycles + 10392.987)) + -113.596596) / 0.526536)) / 0.81082547"
25,2408.537,"(((sqrt((Ncycles - Phz) + 10392.987) + ((Ncycles * -0.00096751715) + -113.59653)) / 0.5271912) + ((Phz - 19.105982) * log(Tmolde + -21.274647))) / 0.8092126"
