Complexity,Loss,Equation
1,0.13533346,"0.8583882"
3,0.10669497,"x0 * 0.08280331"
4,0.04167203,"sqrt(x0 * 0.09517317)"
6,0.03832272,"(sqrt(x0) * 0.2636008) + 0.14468853"
7,0.036920186,"log((sqrt(x0) * 0.5629916) + 0.94067657)"
8,0.03096198,"(x1 * 0.064245835) + sqrt(x0 * 0.07129467)"
10,0.024544356,"((x1 / 617.9697) * x3) + sqrt(x0 * 0.07054915)"
12,0.02451949,"((x1 * (x3 + -1.1902022)) / 569.3828) + sqrt(x0 * 0.068734534)"
13,0.024290876,"((x3 * x1) / (x2 / sqrt(x1))) + sqrt(x0 * 0.07044604)"
14,0.024134818,"sin(x3 * (x1 / (x2 / sqrt(x1)))) + sqrt(x0 * 0.07081766)"
15,0.019629356,"(sqrt(x0 * 0.08141718) - (cos((x3 * -0.04457014) - x1) * -0.20674902)) + 0.12632823"
17,0.019444052,"(0.12608455 - (cos(x1 + ((x1 - x3) * -0.046513055)) * -0.21168831)) + sqrt(x0 * 0.08190214)"
19,0.019401474,"(sqrt(x0 * 0.08146338) + 0.13341714) - (cos(((x1 + x1) * 0.46492815) - (x3 * -0.047393143)) * -0.2118739)"
20,0.019328125,"(0.12608455 - (cos(x1 + ((x1 + (cos(x0) - x3)) * -0.046513055)) * -0.21168831)) + sqrt(x0 * 0.08190214)"
21,0.019254243,"(sqrt(x0 * 0.08163575) + 0.12546687) - (cos(x1 + ((sin(exp(x1 + 1.3723177)) - x3) * -0.04438705)) * -0.20858537)"
22,0.018370075,"(sqrt(x0 * 0.08223597) + 0.14628899) - (cos((x3 * -0.03969365) - (x1 + (cos(x1 + -64.31819) * 0.40245643))) * -0.23123084)"
27,0.017011685,"(sqrt(x0 * 0.08072337) + 0.10775059) - (cos((x3 * -0.042914) - (x1 + cos((x1 + (cos(x1 + 0.7406766) * -47.49277)) * -0.7153059))) * -0.21991839)"
