Complexity,Loss,Equation
1,135333.48,"858.37134"
2,42194.35,"sqrt(x0)"
4,41342.03,"x1 + sqrt(x0)"
6,38322.727,"sqrt(x0 / 1.4392878) + 144.72311"
7,36616.36,"log(x1) * sqrt(x0 / 11.209805)"
8,32970.375,"(x1 + sqrt(x0 / 52.078518)) * 5.862931"
9,28662.535,"sqrt(x0 / 1.5624375) + (sqrt(x3) * x1)"
10,27283.535,"(x3 * (x1 * 0.14164402)) + sqrt(x0 / 1.5166634)"
11,27200.691,"sqrt(x0 / 1.4184654) + (x3 * sqrt(x1 + -14.437821))"
12,24736.0,"sqrt(x0 / 1.3293118) + square(x1 - (29.701069 - sqrt(x3)))"
14,19250.826,"(square(((306.28842 - x3) / log(x1)) + -88.83751) + sqrt(x0)) / 1.1931329"
16,18451.22,"((sqrt(x0) + square(((315.09067 - x3) / log(x1)) + -91.80651)) / 1.1085628) - 85.126564"
18,18327.33,"((sqrt(x0 / 0.68617743) + square(((348.75854 - x3) / log(x1)) + -102.993004)) / 1.331406) - 90.79625"
20,18327.328,"(((square(((348.75854 - x3) / log(x1)) + -102.993) + sqrt(x0 / 0.6861098)) / 1.331343) - 90.83289) + -0.10691042"
22,18259.93,"(sqrt(x0 / 1.2148579) + square(((sqrt(x2) - (x3 / 3.2727008)) - x1) / log(log(x1 + -12.967801)))) + -82.8748"
24,17875.018,"square(((sqrt(x2) - ((x3 / 3.810645) + 2.6839526)) - x1) / log(log(x1 - 12.864502))) + (sqrt(x0 / 1.2188146) + -89.77911)"
