Complexity,Loss,Equation
1,16839.018,"184.40155"
2,4813.6978,"sqrt(x0)"
4,4072.9817,"sqrt(x0 * 0.7889334)"
6,3808.3745,"(sqrt(x0) + x1) * 0.8146927"
7,3795.2332,"sqrt(sqrt(x1) * x0) * 0.39866352"
8,2908.4258,"sqrt(x0 + (x0 / (x1 + -31.58163)))"
9,2751.3186,"sqrt(x0) + (sqrt(x0) / (x1 + -32.78969))"
10,2718.4807,"sqrt((x0 / ((x1 + -33.024014) / 1.7030678)) + x0)"
11,2697.5757,"sqrt(x0) + ((sqrt(x0) / (x1 + -33.05248)) + -8.573908)"
12,2592.0615,"x1 + (-32.133144 + sqrt(x0 + (x0 / (x1 + -31.657671))))"
13,2226.582,"sqrt((x0 / (((50.398865 / log(x3)) + x1) + -47.308258)) + x0)"
15,2120.059,"sqrt(x0 + (x0 / ((49.014877 / log(x3)) + (x1 + -47.02398)))) + -11.513287"
18,1845.437,"sqrt(((x3 * x1) * ((x0 / (x1 + x3)) / 13.809099)) + (x0 / (-31.287724 + x1)))"
20,1750.7004,"sqrt((x3 * (x1 * ((x0 / (x1 + x3)) / 12.025167))) + (x0 / (x1 + -31.019413))) + -18.364117"
22,1615.5083,"sqrt(((((x1 * x3) / 10.07107) * (x2 + x0)) / (x1 + x3)) + (x0 / (x1 + -30.73238))) + -47.024506"
24,1403.7306,"sqrt(((((x0 * (x3 + -12.163549)) / (x3 + (x1 + -31.700174))) / 12.074184) * (x1 + -7.4444213)) + (x0 / (x1 + -31.162136)))"
