Complexity,Loss,Equation
1,16839.018,"184.40155"
2,4813.6978,"sqrt(Ncycles)"
4,4072.9817,"sqrt(Ncycles * 0.7889334)"
6,3813.469,"Phz - (sqrt(Ncycles) * -0.7976185)"
7,3795.2332,"sqrt(Ncycles / (6.2920284 / sqrt(Phz)))"
8,3181.7222,"sqrt(Ncycles / (1181.4161 / (Tmolde * Phz)))"
9,3157.5396,"sqrt(Ncycles / sqrt((1397.6738 / Tmolde) / Phz))"
10,2721.2515,"(0.566982 - (Phz / (-2956.708 / Tmolde))) * sqrt(Ncycles)"
11,2485.637,"(square(Phz / (-2675.9006 / Tmolde)) + 0.734388) * sqrt(Ncycles)"
13,2321.3142,"sqrt((square((Phz / (-1177.9059 / Tmolde)) - -0.60677916) + 0.635016) * Ncycles)"
15,2017.6401,"sqrt((square((-12.797883 / Phz) - (Phz / (-1314.9756 / Tmolde))) + 0.58612126) * Ncycles)"
17,1861.703,"sqrt(Ncycles * (square(0.91157144 - ((18.303019 / (-874.4311 / Tmolde)) - (-33.719227 / Phz))) + 0.5131097))"
19,1773.6891,"sqrt((square(((31.466345 / (-1401.8226 / Tmolde)) - (-35.965294 / Phz)) + -0.96771127) + 0.58898556) * Ncycles) - 18.094572"
20,1735.4395,"sqrt((square((log((vslip / Phz) / Tmolde) - (-12.209321 / Phz)) + -0.9952359) + 0.6244426) * Ncycles) - 21.49424"
21,1705.3219,"(sqrt((square(((32.96701 / (-1401.7821 / Tmolde)) - (-34.759815 / Phz)) + -0.8192804) + 0.6304894) * Ncycles) - 46.088978) + Phz"
22,1662.9312,"sqrt(Ncycles + (((19.787128 - Phz) * Ncycles) / (-311.8704 / ((Tmolde + -56.81076) - log(392.62094 / exp(Phz)))))) - 34.327335"
23,1628.5929,"sqrt(vslip + (((19.563293 - Phz) * (Ncycles / (-298.7178 / ((Tmolde + 75.109215) - (354.16452 / log(Phz)))))) + Ncycles)) - 52.77096"
24,1431.7543,"sqrt((((Ncycles / (-297.02655 / ((-58.52907 - log(Tmolde / exp(Phz))) + Tmolde))) * (19.653116 - Phz)) + Ncycles) + vslip) - 44.201126"
25,1418.5771,"sqrt((Ncycles + vslip) + ((19.676838 - Phz) * (Ncycles / (-288.31467 / ((Tmolde + -55.200596) - log(square(Tmolde) / exp(Phz))))))) - 44.518333"
