Complexity,Loss,Equation
1,0.01683902,"0.1844053"
3,0.0105374195,"Ncycles * 2.3811592e-6"
4,0.004072982,"sqrt(Ncycles) * 0.0008882191"
6,0.0038083745,"(Phz + sqrt(Ncycles)) * 0.0008146949"
7,0.0037952329,"sqrt(sqrt(Phz) * Ncycles) * 0.00039866538"
8,0.003181722,"sqrt(Tmolde * (Ncycles * Phz)) * 2.9093791e-5"
9,0.0031294744,"sqrt(Ncycles * (Phz * sqrt(Tmolde))) * 7.2592724e-5"
10,0.0027212508,"((Tmolde * (Phz * 3.383555e-7)) + 0.0005668613) * sqrt(Ncycles)"
11,0.0024857963,"((square(Tmolde * Phz) * 1.4069311e-10) + 0.0007321133) * sqrt(Ncycles)"
13,0.0024065021,"sqrt(Ncycles) * ((square((Phz - 8.832713) * Tmolde) * 2.342786e-10) + 0.00076887995)"
14,0.0021485954,"((Tmolde * (Phz * 5.9319336e-7)) + ((0.2576766 / Tmolde) / Phz)) * sqrt(Ncycles)"
15,0.0021263992,"sqrt(Ncycles * Tmolde) * ((Phz * 4.4840413e-6) + ((0.5914311 / Tmolde) / square(Phz)))"
16,0.001934435,"((Phz * 4.9912874e-6) + square(63.99545 / (square(Phz) * Tmolde))) * sqrt(Tmolde * Ncycles)"
17,0.0017235812,"Phz * (((sqrt(Ncycles) / square(Tmolde * square(Phz))) + 4.720227e-6) * sqrt(Tmolde * Ncycles))"
19,0.0016723835,"(Phz * ((sqrt(Ncycles) / square(Tmolde * square(Phz))) + 5.059033e-6)) * sqrt((Tmolde + -3.902527) * Ncycles)"
20,0.0016656182,"((sqrt(Ncycles) / square(square(Phz) * Tmolde)) + 5.00709e-6) * (Phz * sqrt((Tmolde - log(Phz)) * Ncycles))"
21,0.0016343053,"((sqrt(Ncycles) / square(Tmolde * square(Phz - 0.51415825))) + 5.121367e-6) * (Phz * sqrt(Ncycles * (Tmolde + -5.4353976)))"
23,0.00158776,"sqrt(Ncycles * Tmolde) * ((Phz * (((((-0.6161143 / Phz) + 0.05415795) / Tmolde) / sqrt(sqrt(exp(Phz)))) + 6.994352e-6)) - 7.8765755e-5)"
25,0.0014411791,"sqrt(Ncycles * Tmolde) * ((Phz * (((((-0.024519509 / Phz) + (0.013328071 / Tmolde)) + 0.0017287713) / sqrt(sqrt(exp(Phz)))) + 8.3837995e-6)) - 0.0001300627)"
26,0.0014152088,"((((((-0.2278385 / Phz) + ((0.07365876 / Tmolde) + 0.01706839)) / sqrt(sqrt(exp(Phz)))) - -0.00029707217) * log(Phz)) - 0.00088921684) * sqrt(Ncycles * Tmolde)"
27,0.0012721339,"(sqrt(Ncycles * Tmolde) * ((Phz * ((((-0.027234545 / Phz) + ((0.014702627 / Tmolde) + 0.001919441)) / sqrt(sqrt(exp(Phz)))) + 9.212945e-6)) - 0.00014333542)) + -0.025470065"
28,0.001240286,"(((log(Phz) * ((((-0.25312668 / Phz) + ((0.08137598 / Tmolde) + 0.018948369)) / sqrt(sqrt(exp(Phz)))) + 0.00032710188)) - 0.00097958) * sqrt(Ncycles * Tmolde)) + -0.025923334"
29,0.001068445,"(sqrt((Ncycles + vslip) * Tmolde) * ((Phz * ((((-0.029293029 / Phz) + ((0.016083019 / Tmolde) + 0.0020546573)) / sqrt(sqrt(exp(Phz)))) + 9.836595e-6)) - 0.0001485664)) + -0.05513238"
